MW,FaultType,Rrup,VS30,PGA
6.2,Ters,124.67,441.58,0.016589700422497085
6.3,Ters,40.33,277.5,0.11005620960491962
6.3,Ters,50.64,226.01,0.08850367702996864
6.3,Ters,45.29,204.71,0.10104259819208926
6.2,Ters,70.51,223.6,0.11228472311739474
6.2,Ters,72.97,240.43,0.13719973198960703
6.2,Ters,59.25,484.6,0.030864465804565613
6.2,Ters,88.51,667.36,0.023933644363015424
6.2,Ters,126.14,506.64,0.022535807756534933
6.2,Ters,110.48,407.59,0.024124261235913526
6.2,Ters,109.22,297.76,0.010323344063052438
6.2,Ters,77.13,533.97,0.03912959012028365
6.2,Ters,110.81,487.91,0.017461912473801373
6.2,Ters,70.15,453.71,0.03627718680968523
6.2,Ters,73.45,398.81,0.05447536190790476
6.8,Ters,265.56,655.45,0.002030094387112826
6.2,Ters,77.75,527.54,0.06980692199997361
6.2,Ters,94.09,704.96,0.03465439825994675
6.2,Ters,104.76,428.95,0.04568101118751642
6.2,Ters,108.03,616.17,0.018540652837729314
6.2,Ters,56.98,510.62,0.04771684903451296
6.2,Ters,63.96,734.26,0.030668947467756374
6.2,Ters,106.08,538.69,0.021550160984289652
6.2,Ters,67.37,728.01,0.04319488679086912
6.2,Ters,68.61,418.24,0.1367257587365307
6.2,Ters,85.17,845.34,0.051272400772907054
6.2,Ters,86.25,539.98,0.03233627897582528
6.2,Ters,88.18,528.12,0.040450769968204556
6.2,Ters,108.62,373.54,0.0233519522354085
6.3,Ters,59.98,347.63,0.08538574451045677
6.3,Ters,90.0,564.07,0.03625012177575132
6.3,Ters,33.61,542.61,0.14654013513061873
6.3,Ters,41.36,544.74,0.18294683160087796
6.3,Ters,54.11,442.15,0.1271462682267946
6.3,Ters,77.63,172.1,0.06836479298929238
6.3,Ters,83.36,225.77,0.08493727008322789
6.3,Ters,87.19,269.28,0.040425814233160474
3.6,Normal,43.38,498.41,0.00020756062783100268
6.3,Ters,102.63,191.09,0.03305618094648261
6.3,Ters,96.66,228.92,0.029639055807768235
6.3,Ters,98.39,246.88,0.03379275299368786
6.3,Ters,109.35,250.0,0.05151519007745482
6.3,Ters,115.9,211.97,0.02619433847323883
6.3,Ters,110.71,227.97,0.029875150496998338
6.3,Ters,110.17,265.45,0.024885921340137278
6.3,Ters,106.69,202.95,0.0333320241970661
6.3,Ters,138.38,465.86,0.02961651359495915
6.3,Ters,104.28,160.67,0.03580903855192988
6.3,Ters,61.76,193.69,0.18349634829156683
6.3,Ters,87.84,180.33,0.07083578870562393
6.3,Ters,59.65,221.92,0.0698502984438406
6.3,Ters,108.87,293.61,0.019025368638767554
6.3,Ters,92.74,228.84,0.043814320194670374
6.3,Ters,81.23,230.11,0.05657131793586216
6.3,Ters,41.58,573.04,0.16684500724693563
6.2,Yanal,108.06,228.34,0.015724834345404087
5.8,Yanal,71.57,219.31,0.03779895601275517
6.8,Ters,128.93,608.7,0.005420752126792739
5.3,Yanal,25.81,198.77,0.050595684700982156
5.0,Yanal,9.02,198.77,0.03216828526232009
5.0,Yanal,34.98,213.44,0.017298556201905985
5.5,Yanal,15.64,213.44,0.01613599501110731
7.36,Ters,117.75,316.46,0.049926847646912374
7.36,Ters,125.59,415.13,0.050590630503904575
7.36,Ters,82.19,514.99,0.10884975161812727
7.36,Ters,38.89,385.43,0.16924764565210354
6.4,Yanal,44.68,219.31,0.1181527359784783
5.7,Yanal,57.21,219.31,0.06502577515027252
5.2,Yanal,37.69,198.77,0.014883057409403485
5.5,Yanal,53.58,219.31,0.11596451098757327
6.6,Yanal,91.22,219.31,0.050484014134117745
5.28,Ters,11.02,874.72,0.09041617428731433
6.0,Yanal,73.41,493.5,0.04232319340580292
6.2,Yanal,64.65,539.98,0.01633986615857058
6.3,Ters,54.36,665.2,0.06346835752780436
6.3,Ters,72.33,538.93,0.04142304824047115
6.3,Ters,65.54,573.04,0.0728014797376949
6.3,Ters,84.58,538.69,0.024277516536017434
6.3,Ters,29.33,553.43,0.14586583942897666
6.2,Ters,109.54,228.92,0.03138897040264303
6.3,Ters,73.33,573.04,0.04516801999995129
6.3,Ters,68.15,573.04,0.03214287502484493
6.3,Ters,56.33,505.2,0.09348958582770062
6.3,Ters,65.72,318.52,0.18589016170722966
5.03,Yanal,183.28,529.99,0.00046338593040656724
6.3,Ters,51.83,789.18,0.021033197762893783
6.3,Ters,56.02,1525.85,0.03221641943504275
6.3,Ters,57.24,358.72,0.025936028174965417
6.3,Ters,54.25,355.76,0.046381143691582256
6.3,Ters,41.62,626.43,0.02805971471853554
6.3,Ters,74.93,567.64,0.03164289654957175
6.3,Ters,56.05,671.52,0.012720894646509735
6.3,Ters,43.31,592.18,0.024823217591045686
6.3,Ters,47.44,602.29,0.037180716424748995
3.59,Yanal,30.81,365.0,0.0005859209043983667
6.2,Ters,81.54,617.52,0.005586489372901554
4.45,Yanal,71.17,388.0,0.005035479491045963
4.42,Yanal,159.6,374.5,0.0006571960262205258
6.19,Yanal,12.9,256.82,0.2593698099467823
3.81,Yanal,25.05,393.0,0.0015387402939828802
5.9,Ters,26.59,309.41,0.08688748018492941
5.9,Ters,26.61,306.78,0.08683694649082843
3.96,Yanal,40.62,521.55,0.00021445478522019506
3.97,Yanal,21.7,392.7,0.012474206255337432
6.5,Yanal,56.88,213.44,0.05463003469535966
5.6,Yanal,25.24,213.44,0.02962936493197247
6.5,Yanal,27.02,219.31,0.18228411805278047
6.8,Yanal,121.7,213.44,0.04170567655345253
6.19,Yanal,17.64,408.93,0.06157197654553247
6.19,Yanal,9.58,289.56,0.4042582287811097
6.3,Ters,46.56,395.57,0.06242087690172255
6.3,Ters,40.7,379.18,0.06523079445964536
6.3,Ters,44.83,503.04,0.025265140008487983
6.3,Ters,45.92,642.73,0.02578812943289218
6.3,Ters,120.8,219.78,0.009838137088408557
6.3,Ters,115.76,263.82,0.017733031994557502
6.3,Ters,107.02,299.28,0.015681510334196132
6.3,Ters,111.35,259.21,0.016730956096218767
6.3,Ters,106.88,199.48,0.026952663288076006
6.3,Ters,105.65,271.1,0.01741140349785163
6.3,Ters,109.98,221.1,0.026280331152346615
6.3,Ters,108.11,200.98,0.017966116084284882
6.06,Ters,42.36,360.45,0.08436018135400138
6.3,Ters,110.1,196.88,0.016639069743408133
6.3,Ters,111.78,199.59,0.02312803812987604
6.3,Ters,112.46,266.77,0.017544442931013798
6.3,Ters,114.44,223.71,0.01658131737709643
6.3,Ters,107.52,236.84,0.016327540726710804
6.3,Ters,91.23,447.51,0.01887903148371759
4.18,Yanal,84.83,723.35,0.0006699913413922452
4.18,Yanal,60.97,432.0,0.0008473876542220804
4.18,Yanal,51.59,376.0,0.0011190575540056017
6.3,Ters,51.85,534.41,0.0182217445641382
6.3,Ters,60.25,617.52,0.03305338118025144
6.3,Ters,54.08,313.9,0.02875975614891406
6.3,Ters,56.55,369.75,0.04714406553520814
6.3,Ters,51.45,511.3,0.03687321074566737
6.3,Ters,59.6,671.52,0.030379728865886874
6.3,Ters,44.87,529.54,0.03880978528351838
6.3,Ters,55.59,573.04,0.012922320282073959
6.3,Ters,101.08,573.04,0.01141348715544465
6.3,Ters,108.89,782.59,0.008523122642297834
6.3,Ters,97.01,671.52,0.012910324136624147
6.3,Ters,100.2,573.04,0.012655424715654548
6.3,Ters,105.23,612.47,0.005945969437946347
3.6,Normal,71.13,760.0,0.0005657200425016423
6.3,Ters,84.47,996.51,0.010011017479329962
7.62,Ters,7.64,350.06,0.1941654220356189
4.59,Normal,248.66,576.04,0.00032544897675204024
4.59,Normal,118.51,668.72,0.0008210354183567479
5.33,Ters,42.52,667.13,0.0315712856284916
6.3,Ters,139.83,216.33,0.017623606163018963
6.3,Ters,134.84,228.34,0.015629171995777638
6.3,Ters,112.47,260.75,0.034685635145976494
6.3,Ters,136.59,227.46,0.013608992069194545
6.3,Ters,128.25,205.11,0.016247041133461808
6.3,Ters,126.9,167.18,0.019948917272604044
6.3,Ters,123.33,194.28,0.013605105659468434
6.3,Ters,137.93,425.87,0.010420420390907941
6.3,Ters,101.15,373.33,0.033170897769008306
6.3,Ters,139.75,535.13,0.007797467144444149
5.33,Ters,12.14,486.0,0.1717041160997604
6.61,Ters,55.2,280.56,0.032704480080768754
6.61,Ters,92.59,477.22,0.025833544856091663
6.61,Ters,218.75,256.82,0.005440085991214109
6.2,Ters,41.08,336.98,0.031522269362315905
7.62,Ters,119.3,456.18,0.03487222341293999
6.2,Ters,126.02,422.28,0.011639291594964017
6.2,Ters,109.61,282.7,0.016662790679021926
7.62,Ters,51.8,617.52,0.08033166722135923
6.3,Ters,98.9,500.15,0.01589008598557604
6.3,Ters,112.76,665.2,0.011243327980593645
6.3,Ters,118.24,531.85,0.013972551356427358
6.3,Ters,122.51,807.68,0.00695380887944873
6.3,Ters,119.25,887.68,0.009778530091897759
6.3,Ters,130.83,324.38,0.018844868711439727
6.3,Ters,133.46,538.69,0.01236810322834508
6.2,Ters,73.48,704.64,0.04641917381576389
6.2,Ters,42.98,208.56,0.08239455275310377
6.2,Ters,113.22,538.69,0.028342392989160248
5.27,Ters,18.14,245.06,0.14350830651464047
5.27,Ters,21.15,371.07,0.17807991749773472
5.27,Ters,31.18,301.11,0.06802603543974027
5.27,Ters,23.55,362.31,0.02546176640955611
5.27,Ters,18.51,337.0,0.09359525535828192
6.2,Yanal,24.62,438.19,0.10752507165382406
6.36,Ters,33.07,360.92,0.07757337505215627
6.61,Ters,214.32,338.54,0.00918460562375816
6.61,Ters,112.52,385.69,0.012077662223667292
6.3,Ters,118.5,517.33,0.00886793289346452
6.3,Ters,103.78,607.4,0.01832253637219476
6.3,Ters,59.63,356.77,0.036970723448653264
6.3,Ters,56.94,540.66,0.03778023821586756
6.3,Ters,57.8,362.03,0.05764005359706738
6.3,Ters,63.12,578.98,0.0569413112182008
6.3,Ters,39.78,551.21,0.052688083146058745
6.3,Ters,36.57,542.41,0.036996021156351394
6.3,Ters,30.09,579.1,0.060833686939459786
6.3,Ters,38.62,375.42,0.028661220837528888
6.3,Ters,41.68,379.64,0.07513944831506816
6.3,Ters,50.4,645.72,0.033807049405406554
6.61,Ters,89.72,813.48,0.01730677514534698
6.3,Ters,26.05,305.85,0.13675969208710584
6.3,Ters,26.31,573.02,0.08082659361342033
6.3,Ters,25.85,614.98,0.11900823772747834
6.3,Ters,10.05,363.99,0.6970023946416756
6.3,Ters,83.43,999.66,0.0073224711956814134
6.3,Ters,42.34,538.69,0.021240630445050354
6.3,Ters,86.81,589.85,0.022074481815236344
6.3,Ters,82.95,346.56,0.034866386118185516
6.61,Ters,218.13,184.75,0.004380725268828896
6.61,Ters,96.81,301.95,0.03484989246217698
6.61,Ters,61.64,394.18,0.023384554116262297
6.61,Ters,46.78,308.35,0.09340914935900016
6.61,Ters,139.14,328.09,0.039566932096729464
6.19,Yanal,15.96,527.92,0.3118298286040962
6.8,Ters,223.74,519.76,0.0018977654844392654
6.61,Ters,58.99,217.92,0.02898280553679198
6.61,Ters,27.4,425.34,0.13134937765558694
6.61,Ters,19.3,602.1,0.3283764979638463
6.61,Ters,25.07,600.06,0.175572991690123
6.61,Ters,109.73,443.85,0.010622433325910782
6.61,Ters,110.18,441.25,0.009012424181165686
6.61,Ters,25.47,415.13,0.10320810173031476
6.61,Ters,38.97,529.09,0.11973992402411152
6.61,Ters,108.01,459.37,0.038314036427560066
6.61,Ters,124.79,442.88,0.01442412628739779
6.3,Ters,35.46,714.27,0.05172029236863419
6.3,Ters,46.16,575.54,0.051896899948270514
6.3,Ters,61.66,221.7,0.05047216220406057
6.3,Ters,32.46,459.34,0.056484280476635264
6.3,Ters,39.54,270.22,0.07332399951918335
6.3,Ters,57.26,223.6,0.05251295153375499
6.3,Ters,45.72,223.04,0.14402976340388815
6.3,Ters,63.19,484.6,0.028550696746338783
6.3,Ters,110.44,407.59,0.010332771470916213
6.3,Ters,108.79,283.21,0.010604547182482145
6.3,Ters,109.59,282.7,0.013179338942204195
6.3,Ters,110.15,292.61,0.011853353434070884
6.3,Ters,109.36,288.3,0.011921079570508704
6.3,Ters,110.79,487.91,0.01365452467039406
6.3,Ters,104.61,428.95,0.014317161635690924
6.3,Ters,25.66,397.57,0.12133902193822481
6.3,Ters,49.7,599.64,0.03967136989399786
6.3,Ters,24.8,511.18,0.24701534785988502
6.3,Ters,33.63,652.85,0.060928198653771144
6.3,Ters,39.0,303.96,0.06430044631635927
6.3,Ters,99.99,537.92,0.017060787187993406
6.3,Ters,89.72,667.36,0.015424312073667986
6.3,Ters,125.42,506.64,0.009357391651368879
6.3,Ters,79.21,533.97,0.021519185321679814
6.3,Ters,103.17,573.04,0.012728346376443014
6.61,Ters,30.7,667.13,0.18512164484200652
6.61,Ters,63.79,669.48,0.0364760148631426
6.61,Ters,61.73,487.23,0.06811579277558766
3.59,Yanal,97.39,529.99,0.0002136071161312984
6.61,Ters,193.91,303.79,0.008693506976146624
6.61,Ters,1.81,2016.13,1.2286401746658784
6.61,Ters,21.5,969.07,0.1397675400671701
6.61,Ters,205.77,354.06,0.00518418201467271
6.61,Ters,124.41,322.42,0.017540002774230113
6.61,Ters,70.23,347.67,0.029188200988755714
5.14,Yanal,9.11,335.5,0.07345301950289042
6.24,Yanal,4.06,288.77,0.3500395892087065
5.2,Yanal,4.98,288.77,0.24092865189294113
6.3,Ters,74.73,398.81,0.03006151526348597
6.3,Ters,78.53,527.54,0.035033301758391255
6.3,Ters,86.79,671.52,0.014289669626726856
6.3,Ters,107.7,616.17,0.009077053137242285
6.3,Ters,61.32,510.62,0.029415345308121066
6.3,Ters,67.17,734.26,0.025131589101869384
6.3,Ters,106.29,538.69,0.011807643477798608
6.3,Ters,68.84,728.01,0.016951978565660115
5.9,Ters,24.65,293.46,0.11213925296429436
6.3,Ters,86.38,845.34,0.027447800919541805
6.3,Ters,86.74,539.98,0.016482740921876435
5.2,Yanal,34.73,567.78,0.1552765701844615
5.2,Yanal,19.9,219.31,0.08525031816802563
4.79,Normal,14.07,391.76,0.02299293458074458
5.65,Ters,17.71,248.98,0.09786124125899895
6.61,Ters,62.23,486.0,0.04991175045429683
5.2,Yanal,62.76,594.83,0.029594585998253126
5.2,Yanal,63.64,518.98,0.0892195317817685
5.89,Normal,7.99,680.37,0.07924382031660261
6.2,Ters,14.41,280.26,0.20520139437377125
4.37,Normal,10.5,519.15,0.06396694035985932
4.37,Normal,14.36,391.76,0.023274844292110745
4.7,Normal,6.03,634.85,0.1569482040161658
4.7,Normal,10.52,418.97,0.072303555134886
4.7,Normal,9.83,589.8,0.13064875275045681
4.7,Normal,6.19,514.91,0.10551894077171169
4.59,Normal,161.07,258.1,0.0022560056868141092
6.8,Ters,184.88,1110.06,0.001996743615904656
4.59,Normal,302.42,611.0,5.4718762108530926e-05
4.59,Normal,108.68,1242.0,0.0019456459056074182
4.59,Normal,78.58,489.0,0.0004212848216360993
5.91,Ters,41.39,249.28,0.023860197710488487
5.91,Ters,14.5,649.67,0.08949530302551079
5.5,Ters,17.7,412.37,0.10462884582858592
5.5,Ters,17.68,649.67,0.04809391878980127
6.8,Ters,5.46,259.59,0.7786129232342281
5.3,Normal,3.21,535.24,0.23272912895467124
4.7,Normal,11.63,352.22,0.06309145127406407
6.3,Ters,89.05,528.12,0.022309611841325256
6.3,Ters,108.41,373.54,0.015597129841877961
6.3,Ters,119.22,573.04,0.014603498948183616
4.7,Normal,13.65,525.95,0.15215804915399644
4.7,Normal,13.72,477.35,0.14267423248309416
4.7,Normal,14.48,535.24,0.06392719371931088
4.7,Normal,13.71,477.35,0.0848454841014099
5.9,Ters,26.58,314.88,0.083253733329282
5.9,Ters,26.06,306.38,0.14635693695749444
5.9,Ters,25.79,306.38,0.10897357094029726
5.9,Ters,25.61,308.39,0.07966440007463998
5.9,Ters,26.58,321.63,0.07221794037230292
5.9,Ters,27.02,321.63,0.1269634415867812
5.9,Ters,26.66,329.08,0.10655664900035097
5.9,Ters,28.51,303.36,0.12089023135168946
6.5,Ters,96.1,309.41,0.030885599383518526
6.5,Ters,96.01,314.88,0.028233684842287235
4.7,Normal,12.79,377.25,0.1144932165990632
5.92,Ters,27.42,465.51,0.05137444226750107
5.92,Ters,12.16,514.99,0.14319918813450025
7.35,Ters,28.79,324.57,0.09462966755297199
5.99,Ters,20.48,285.28,0.1795359614348056
5.99,Ters,22.17,241.41,0.16517051730378518
6.2,Ters,4.46,204.0,0.3738456351401739
4.59,Normal,421.52,196.0,9.66122070501963e-05
4.59,Normal,372.76,238.0,0.00015422815472020666
4.59,Normal,163.55,393.26,0.0007071129416956672
4.7,Normal,7.64,548.76,0.08760422027762133
6.5,Ters,49.38,496.46,0.029502492594030087
6.5,Ters,80.41,352.05,0.0585372016503343
6.5,Ters,102.15,356.39,0.03590261039150357
6.5,Ters,15.82,505.23,0.33546689673274765
5.9,Normal,4.64,585.04,0.1793502880183079
6.53,Yanal,0.34,259.86,0.2884670060746116
6.53,Yanal,0.65,242.05,0.23444454081274743
6.53,Yanal,2.66,223.03,0.6820267457134508
6.53,Yanal,10.42,208.71,0.18893175309523808
6.53,Yanal,24.6,205.78,0.10071165056083134
6.5,Ters,95.91,314.88,0.02980229581993978
6.5,Ters,95.98,309.41,0.0322981080077843
6.5,Ters,96.17,309.41,0.027233656314986424
6.5,Ters,96.21,309.41,0.02538012707748919
6.5,Ters,96.24,275.82,0.02912440832185265
6.5,Ters,95.91,306.78,0.03244124369159419
6.5,Ters,95.37,306.38,0.027883430537794306
6.5,Ters,95.15,306.38,0.02980005767850794
6.5,Ters,97.0,300.22,0.027643420556790727
6.5,Ters,97.02,275.82,0.029937871643057726
6.5,Ters,96.67,285.09,0.031673095878557565
6.5,Ters,94.76,288.24,0.03127678297888707
6.5,Ters,94.16,286.03,0.026759747387204536
6.5,Ters,95.34,357.43,0.032936906698647336
6.5,Ters,96.4,329.08,0.018290601901318065
6.5,Ters,97.89,295.17,0.02987394195192526
6.5,Ters,97.99,303.36,0.02353688706301239
5.8,Normal,24.4,436.79,0.1288332467405056
6.53,Yanal,15.19,471.53,0.16260574651161624
6.53,Yanal,7.29,242.05,0.2619689176508923
6.53,Yanal,22.03,242.05,0.28709319914066234
5.01,Yanal,49.93,242.05,0.08451989631067942
5.01,Yanal,24.84,237.33,0.04352822182550075
5.01,Yanal,12.96,202.85,0.05136841000322085
5.01,Yanal,15.42,196.25,0.13676507164097124
5.01,Yanal,16.25,162.94,0.11568770543748372
5.01,Yanal,12.11,208.91,0.196748828278544
5.01,Yanal,11.23,205.63,0.24941654598522528
5.01,Yanal,10.37,203.22,0.20973524077910702
5.01,Yanal,10.94,206.08,0.138768545991698
5.01,Yanal,10.71,202.26,0.14308683273760725
